ulasan_asli;kategori;preprocessed_text;tokens_count
pagi ini waktu saya sarapan di kafe, banyak colokan listrik di kafe yang sudah rusak dan tidak berfungsi, padahal pelanggan sangat membutuhkan colokan untuk mengisi daya perangkat mereka. tidak hanya itu, saya melihat banyak lalat berkeliaran di area makan kafe yang sangat mengganggu dan menjijikkan, ini menunjukkan kurangnya kontrol hama di kafe;suasana;pagi waktu sarap kafe banyak colok listrik kafe rusak tidak fungsi padahal langgan sangat butuh colok isi daya perangkat tidak lihat banyak lalat liar area makan kafe sangat ganggu jijik tunjuk kurang kontrol hama kafe;35
pesanan saya tidak kunjung datang meski sudah menunggu banget kelamaan di meja, saya terpaksa menghampiri kasir untuk menanyakan status pesanan. ini seharusnya tidak perlu terjadi. saya juga merasa manajemen harus lebih serius menangani masalah pelayanan;pelayanan;pesan tidak kunjung datang meski tunggu sangat lama meja paksa hampir kasir tanya status pesan tidak perlu jadi rasa manajemen lebih serius tangan masalah layan;25
minggu lalu waktu saya datang, harga minuman di sini sangat tidak sebanding dengan rasa yang didapat, bayar keoverpricean tapi rasa biasa saja. lebih menyebalkan lagi harga menu di kafe meine welt tidak masuk akal untuk kafe yang ada di daerah kampus. saya sangat kecewa dengan pengalaman ini;harga;minggu lalu waktu datang harga minum sini sangat tidak banding rasa dapat bayar keoverpricean rasa biasa lebih sebal harga menu kafe meine welt tidak masuk akal kafe daerah kampus sangat kecewa alam;32
lantai kafe jorok dan terasa lengket saat diinjak terutama di area sekitar kasir dan pintu masuk, sepertinya jarang dipel.. saya juga kecewa karena suasana kafe meine welt kurang nyaman untuk kerja atau belajar karena amat ramai dan berisik, pencahayaan juga kurang mendukung.. saya berharap ada perbaikan secepatnya;suasana;lantai kafe jorok asa lengket injak utama area kasir pintu masuk seperti jarang pel kecewa suasana kafe meine welt kurang nyaman kerja ajar ramai berisik cahaya kurang dukung harap baik cepat;31
pesanan makanan saya datangnya sangat lama padahal teman saya yang pesan bersamaan sudah dapat duluan. masalah lainnya adalah pelayanan kafe meine welt sangat mengecewakan hari ini, mulai dari pelayan yang lambat sampai pesanan yang salah dan staf kafe tidak responsif sama sekali saat saya panggil untuk memesan, saya harus berdiri dan menghampiri mereka langsung ke area kasir. sungguh mengecewakan untuk kafe sekelas meine welt. parahnya tolong tingkatkan kualitas pelayanan kafe ini;pelayanan;pesan makan datang sangat lama padahal teman pesan sama duluan masalah lain layan kafe meine welt sangat kecewa hari mulai layan lambat pesan salah staf kafe tidak responsif sama sekali panggil mes diri hampir langsung area kasir sungguh kecewa kafe kelas meine welt parah tingkat kualitas layan kafe;48
pagi ini waktu saya sarapan di kafe, harga menu baru di kafe ini terlalu tinggi dan tidak sesuai dengan kualitasnya, sepertinya manajemen kafe hanya fokus menaikkan harga tanpa memikirkan kualitas yang harus ditingkatkan. sungguh mengecewakan untuk kafe sekelas meine welt;harga;pagi waktu sarap kafe harga menu baru kafe terlalu tinggi tidak sesuai kualitas seperti manajemen kafe fokus naik harga tanpa pikir kualitas tingkat sungguh kecewa kafe kelas meine welt;29
harga kopi di sini mahal sekali padahal rasanya biasa saja tidak ada yang istimewa, mending beli kopi di. lebih menyebalkan lagi harga snack di kafe meine welt terlalu mahal dibandingkan dengan kafe lain di sekitar sini yang menjual;harga;harga kopi sini mahal sekali padahal rasa biasa tidak istimewa mending beli kopi lebih sebal harga snack kafe meine welt terlalu mahal banding kafe sini jual;26
kenaikan harga di kafe meine welt tidak diimbangi dengan peningkatan rasa dan kualitas makanan minumannya, padahal review di internet bilang kafe ini bagus. sangat mengecewakan. selain itu tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, semua harganya di atas rata-rata;harga;naik harga kafe meine welt tidak imbang tingkat rasa kualitas makan minum padahal review internet bilang kafe bagus sangat kecewa tidak menu murah jangkau kantong mahasiswa kafe semua harga atas rata rata;32
saat saya makan siang di sini, tempat sampah di sudut kafe sudah penuh sampai meluber dan mengeluarkan bau tidak sedap, sepertinya sudah lama tidak dibuang. selain itu musik di kafe ini terlalu keras volumenya sampai harus berteriak untuk mengobrol dengan teman, sangat mengganggu kenyamanan. sangat tidak profesional menurut saya;suasana;makan siang sini tempat sampah sudut kafe penuh luber keluar bau tidak sedap seperti lama tidak buang musik kafe terlalu keras volume teriak obrol teman sangat ganggu nyaman sangat tidak profesional;31
interior kafe sudah terlihat kusam dan butuh renovasi, padahal saya sudah reservasi sebelumnya.. selain itu tempat sampah di sudut kafe sudah penuh sampai meluber dan mengeluarkan bau tidak sedap, sepertinya sudah kelamaan tidak dibuang.. saya juga kecewa karena banyak colokan listrik di kafe yang sudah rusak dan tidak berfungsi, padahal pelanggan banget membutuhkan colokan untuk mengisi daya perangkat mereka. cat dinding mengelupas dan beberapa hiasan sudah rusak.;suasana;interior kafe lihat kusam butuh renovasi padahal reservasi belum tempat sampah sudut kafe penuh luber keluar bau tidak sedap seperti lama tidak buang kecewa banyak colok listrik kafe rusak tidak fungsi padahal langgan sangat butuh colok isi daya perangkat cat dinding kelupas beberapa hias rusak;45
bayar overprice untuk makan dan minum di sini tapi kualitasnya biasa aja dan tidak ada yang spesial, padahal ini kunjungan pertama teman saya. mending makan di warung makan biasa yang harganya setengahnya tapi rasanya lebih enak. semoga kritik saya ini bisa menjadi bahan evaluasi. bukan hanya itu saja, saya berharap ada penyesuaian harga yang lebih masuk akal;harga;bayar mahal makan minum sini kualitas biasa tidak spesial padahal kunjung pertama teman mending makan warung makan biasa harga tengah rasa lebih enak moga kritik jadi bahan evaluasi bukan harap sesuai harga lebih masuk akal;35
setiap kali saya datang ke kafe ini selalu saja tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, semua harganya di atas rata-rata. amat sulit bagi mahasiswa yang ingin nongkrong tapi budget terbatas;harga;kali datang kafe selalu tidak menu murah jangkau kantong mahasiswa kafe semua harga atas rata rata sulit mahasiswa nongkrong budget batas;21
harga makanan dan minuman di kafe ini tidak sesuai dengan kualitas yang diberikan, padahal saya sudah jadi pelanggan tetap di sini. amat mahal untuk rasa dan porsi yang biasa saja. amat mengecewakan dari segi value for money. saya harap pihak kafe tidak mengabaikan keluhan pelanggan. yang membuat saya kesal adalah seharusnya harga sebanding dengan kualitas yang diberikan;harga;harga makan minum kafe tidak sesuai kualitas beri padahal jadi langgan tetap sini mahal rasa porsi biasa kecewa segi value for money harap pihak kafe tidak abai keluh langgan buat kesal harga banding kualitas beri;35
saat saya ajak keluarga makan di sini, ventilasi udara di kafe meine welt kurang baik sehingga terasa pengap dan spiritual di dalam ruangan, apalagi saat banyak pelanggan. tidak hanya itu, meja di kafe terlalu kecil untuk bekerja dengan laptop, tidak muat untuk laptop dan minuman sekaligus. sungguh mengecewakan untuk kafe sekelas meine welt;suasana;ajak keluarga makan sini ventilasi udara kafe meine welt kurang baik asa pengap spiritual ruang banyak langgan tidak meja kafe terlalu kecil kerja laptop tidak muat laptop minum sekaligus sungguh kecewa kafe kelas meine welt;35
dengan harga segini ekspektasi saya jauh lebih tinggi dari apa yang saya dapatkan di kafe meine welt, padahal review di internet bilang kafe ini bagus. mulai dari rasa makanan porsi hingga pelayanan semuanya biasa saja dan standar. hal ini sangat mengganggu kenyamanan saya;harga;harga gin ekspektasi jauh lebih tinggi apa dapat kafe meine welt padahal review internet bilang kafe bagus mulai rasa makan porsi hingga layan semua biasa standar sangat ganggu nyaman;29
seharusnya kafe meine welt menyediakan promo buy one get one atau paket combo yang lebih murah untuk menarik pelanggan, kafe lain sudah melakukan ini dan pelanggannya sangat banyak;harga;kafe meine welt sedia promo buy one get one paket combo lebih murah tarik langgan kafe laku langgan sangat banyak;20
tidak ada program diskon atau reward untuk pelanggan setia yang sudah terus-terusan berkunjung ke kafe meine welt, padahal saya sudah berkali-kali datang dan membeli. sangat tidak dihargai. hal ini sangat mengganggu kenyamanan saya;harga;tidak program diskon reward langgan setia terus terus kunjung kafe meine welt padahal kali kali datang beli sangat tidak harga sangat ganggu nyaman;23
pelayan terlihat malas-malasan dan tidak semangat melayani pelanggan, mereka lebih sering duduk di. lebih menyebalkan lagi pelayan di kafe ini sangat tidak ramah, tidak ada senyum sama sekali dan terkesan tidak peduli dengan pelanggan. mohon segera diperbaiki demi kenyamanan semua pelanggan;pelayanan;layan lihat malas malas tidak semangat layan langgan lebih sering duduk lebih sebal layan kafe sangat tidak ramah tidak senyum sama sekali kes tidak peduli langgan mohon segera baik nyaman semua langgan;32
minggu lalu waktu saya datang, wifi di kafe mati total hari ini dan tidak ada penjelasan dari staf kapan akan diperbaiki. yang lebih parah lagi banyak colokan listrik di kafe yang sudah rusak dan tidak berfungsi, padahal pelanggan sangat membutuhkan colokan untuk mengisi daya perangkat mereka. sangat tidak profesional menurut saya. ditambah dengan fakta bahwa suasana yang baik bisa meningkatkan pengalaman pelanggan;suasana;minggu lalu waktu datang wifi kafe mati total hari tidak jelas staf kapan baik lebih parah banyak colok listrik kafe rusak tidak fungsi padahal langgan sangat butuh colok isi daya perangkat sangat tidak profesional tambah fakta suasana baik tingkat alam langgan;41
saat saya datang bersama teman, harga menu di kafe naik tapi porsi makanan dan minumannya tetap sama tidak ada peningkatan, benar-benar kecewa sebagai pelanggan setia yang sudah sering berkunjung ke kafe meine welt. ini membuat pengalaman makan saya jadi tidak menyenangkan;harga;datang sama teman harga menu kafe naik porsi makan minum tetap sama tidak tingkat benar benar kecewa langgan setia sering kunjung kafe meine welt buat alam makan jadi tidak senang;30
harga selangit tapi rasa makanan dan minuman mengecewakan, sama sekali tidak sebanding. belum lagi seharusnya kafe meine welt menyediakan promo buy one get one atau paket combo yang lebih murah untuk. ditambah lagi mending ke kafe lain yang harganya lebih murah tapi makanan dan minumannya lebih enak serta pelayanannya;harga;harga langit rasa makan minum kecewa sama sekali tidak banding belum kafe meine welt sedia promo buy one get one paket combo lebih murah tambah mending kafe harga lebih murah makan minum lebih enak layan;35
pagi ini waktu saya sarapan di kafe, suasana kafe sangat ramai dan berisik di jam makan siang sampai tidak nyaman untuk bekerja atau belajar, seharusnya ada pembagian area antara yang ingin tenang dan area sosial. sangat tidak profesional menurut saya;suasana;pagi waktu sarap kafe suasana kafe sangat ramai berisik jam makan siang tidak nyaman kerja ajar bagi area tenang area sosial sangat tidak profesional;24
malam ini saya kecewa karena tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, semua harganya di atas rata-rata. sangat sulit bagi mahasiswa yang ingin nongkrong tapi budget terbatas. sangat tidak profesional menurut saya;harga;malam kecewa tidak menu murah jangkau kantong mahasiswa kafe semua harga atas rata rata sangat sulit mahasiswa nongkrong budget batas sangat tidak profesional;23
waktu saya mau mengerjakan tugas di sini, saya berharap ini tidak terulang lagi kedepannya. harga selangit tapi rasa makanan dan minuman mengecewakan, sama sekali tidak sebanding. uang yang saya keluarkan tidak sepadan dengan apa yang saya dapatkan di kafe meine welt ini. hal seperti ini tidak seharusnya terjadi di kafe;harga;waktu mau kerja tugas sini harap tidak ulang depan harga langit rasa makan minum kecewa sama sekali tidak banding uang keluar tidak padan apa dapat kafe meine welt tidak jadi kafe;31
harga naik drastis dibanding bulan lalu tanpa ada pemberitahuan atau penjelasan apapun ke pelanggan, ini sangat mengecewakan. seharusnya ada transparansi soal kenaikan harga menu kafe;harga;harga naik drastis banding bulan lalu tanpa pemberitahuan jelas apa langgan sangat kecewa transparansi soal naik harga menu kafe;19
staff kurang sigap dalam membersihkan meja yang sudah kotor, saya rasa ini karena manajemennya kurang baik.. mohon segera diperbaiki demi kenyamanan semua pelanggan. belum lagi staf kafe terkesan tidak niat melayani pelanggan dengan baik, jawaban mereka singkat dan terkesan ketus saat ditanya tentang menu.. saya harus menunggu cukup lama sampai.;pelayanan;staff kurang sigap bersih meja kotor rasa manajemen kurang baik mohon segera baik nyaman semua langgan belum staf kafe kes tidak niat layan langgan baik jawab singkat kes ketus tanya menu tunggu cukup lama;34
saat saya makan siang di sini, tempat duduk di kafe meine welt kurang nyaman untuk duduk dalam waktu lama, kursinya keras dan tidak ergonomis. banyak pelanggan yang ingin nongkrong lama tapi kursinya membuat punggung sakit. mohon segera diperbaiki demi kenyamanan semua pelanggan;suasana;makan siang sini tempat duduk kafe meine welt kurang nyaman duduk waktu lama kursi keras tidak ergonomis banyak langgan nongkrong lama kursi buat punggung sakit mohon segera baik nyaman semua langgan;31
kemahalan banget untuk ukuran kafe yang target pasarnya mahasiswa, ini terjadi di depan teman-teman saya. harga satu porsi makanan saja sudah bisa untuk makan dua kali di tempat lain dengan rasa yang sama baiknya. ironisnya harga yang wajar akan membuat pelanggan lebih loyal;harga;mahal sangat ukur kafe target pasar mahasiswa jadi depan teman teman harga satu porsi makan makan kali tempat rasa sama baik ironis harga wajar buat langgan lebih loyal;28
tidak rela bayar semahal ini untuk kualitas makanan dan pelayanan seperti yang saya terima hari ini,. lebih menyebalkan lagi harga makanan di kafe meine welt naik terus setiap bulan tanpa ada peningkatan kualitas sama sekali,. saya juga kecewa karena tidak ada menu murah yang terjangkau untuk kantong mahasiswa di kafe ini, semua harganya di atas rata-rata. sangat tidak profesional menurut saya. ironisnya harga yang wajar akan membuat pelanggan lebih loyal;harga;tidak rela bayar mahal kualitas makan layan terima hari lebih sebal harga makan kafe meine welt naik terus bulan tanpa tingkat kualitas sama sekali kecewa tidak menu murah jangkau kantong mahasiswa kafe semua harga atas rata rata sangat tidak profesional ironis harga wajar buat langgan lebih loyal;47
